num,lppg,cdpp,pd,rpp,pp,ucic,rifcom,m5s,si,lega,fi,fdi,avspc,avspp,lnp,pls,bxp,pxp,cxp,pc,psi,pnc,tot
70,19,13,143,6,1,8,4,48,5,169,27,36,33,19,1,2,0,0,1,3,0,40,578
71,18,13,101,15,4,13,8,62,7,145,16,14,28,19,3,1,3,1,4,0,4,37,516
72,2,11,114,8,1,11,7,59,8,122,10,12,12,4,1,6,1,1,0,3,4,38,435
73,21,7,126,34,3,3,10,66,14,167,13,18,13,9,2,1,1,0,0,2,0,16,526
74,17,14,165,23,4,12,11,70,6,133,16,15,19,4,0,4,0,3,1,2,5,34,558
75,15,11,145,12,0,17,8,76,5,127,15,32,19,4,0,1,3,1,2,2,1,42,538
76,12,5,165,23,5,9,6,68,1,185,31,26,16,12,5,21,0,2,0,2,1,44,639
77,11,7,142,13,1,14,6,117,5,209,14,15,37,6,5,21,0,4,0,1,1,33,662
78,8,4,100,38,2,11,9,49,1,158,39,59,39,48,2,2,4,7,1,1,3,20,605
79,8,6,116,29,2,10,10,51,1,175,21,65,15,47,7,3,5,8,0,2,3,26,610
80,9,3,91,27,3,5,10,48,3,151,23,53,18,40,7,0,3,8,0,0,2,15,519
81,10,7,85,26,3,8,3,40,7,176,21,26,23,14,1,0,0,0,1,0,1,38,490
82,14,3,88,37,0,1,5,47,5,198,25,32,29,10,1,0,0,0,1,3,3,37,539
83,13,7,84,13,0,3,7,42,0,155,30,20,27,5,4,4,0,1,0,1,2,31,449
84,1,0,1,0,0,1,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,1,12
85,2,0,3,1,0,0,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,16
86,2,0,7,0,0,0,1,2,1,5,1,2,2,1,0,0,0,0,0,1,1,0,26
